ES,SI,AT,MK,PT,DE,AL,RS,NL,ME,DK,LU,RO,FR,GR,BG,SK,CH,HR,CZ,BA,HU,IT,PL,BE
,,,,,322,,,,,,,,736,,,,,,,,,,,
,,,,,940,,,,,,,,737,,,,,,,,,,,
,,,,,941,,,,,,,,738,,,,,,,,,,,
,,,,,942,,,,,,,,739,,,,,,,,,,,
,,,,,948,,,,,,,,740,,,,,,,,,,,
,,,,,950,,,,,,,,741,,,,,,,,,,,
,,,,,957,,,,,,,,744,,,,,,,,,,,
,,,,,969,,,,,,,,749,,,,,,,,,,,
,,,,,972,,,,,,,,751,,,,,,,,,,,
,,,,,,,,,,,,,754,,,,,,,,,,,
,,,,,,,,,,,,,755,,,,,,,,,,,
,,,,,,,,,,,,,757,,,,,,,,,,,
,,,,,,,,,,,,,758,,,,,,,,,,,
,,,,,,,,,,,,,759,,,,,,,,,,,
,,,,,,,,,,,,,760,,,,,,,,,,,
,,,,,,,,,,,,,761,,,,,,,,,,,
,,,,,,,,,,,,,765,,,,,,,,,,,
,,,,,,,,,,,,,955,,,,,,,,,,,
,,,,,,,,,,,,,982,,,,,,,,,,,
,,,,,,,,,,,,,983,,,,,,,,,,,
,,,,,,,,,,,,,985,,,,,,,,,,,
,,,,,,,,,,,,,986,,,,,,,,,,,
,,,,,,,,,,,,,987,,,,,,,,,,,
,,,,,,,,,,,,,990,,,,,,,,,,,
